county_id	nonres_occupancy_ratio_2010	nonres_occupancy_ratio_2011	nonres_occupancy_ratio_2012	nonres_occupancy_ratio_2013	nonres_occupancy_ratio_2014	nonres_occupancy_ratio_2015	nonres_occupancy_ratio_2016	nonres_occupancy_ratio_2017	nonres_occupancy_ratio_2018	nonres_occupancy_ratio_2019	nonres_occupancy_ratio_2020	nonres_occupancy_ratio_2021	nonres_occupancy_ratio_2022	nonres_occupancy_ratio_2023	nonres_occupancy_ratio_2024	nonres_occupancy_ratio_2025	nonres_occupancy_ratio_2026	nonres_occupancy_ratio_2027	nonres_occupancy_ratio_2028	nonres_occupancy_ratio_2029	nonres_occupancy_ratio_2030	nonres_occupancy_ratio_2031	nonres_occupancy_ratio_2032	nonres_occupancy_ratio_2033	nonres_occupancy_ratio_2034	nonres_occupancy_ratio_2035	nonres_occupancy_ratio_2036	nonres_occupancy_ratio_2037	nonres_occupancy_ratio_2038	nonres_occupancy_ratio_2039	nonres_occupancy_ratio_2040
1	0.781876049689	0.783937066284	0.78625825912	0.788137749674	0.792260553043	0.799213009062	0.806207901995	0.815672749797	0.827810527975	0.832314870417	0.847498465365	0.853123466147	0.855971957962	0.858962238224	0.861694203814	0.864158606078	0.8655775828	0.866014487032	0.870719814272	0.874113332442	0.877965705426	0.881319983862	0.885845515852	0.890027482752	0.892250682658	0.899134115591	0.905299058877	0.912737843381	0.919472514172	0.925842147632	0.929718740997
7	0.763344939682	0.843733728037	0.891089439243	0.928855918895	0.960600675308	0.980872218723	0.999920657609	0.991681028431	1.00042411219	1.00841750599	1.01539013601	1.01594428745	1.01375817912	1.01369988325	1.01445118181	1.01300412431	1.01338832555	1.0136947459	1.01405997295	1.01372925804	1.01326617713	1.01278832832	1.01386050639	1.01433209425	1.01464541431	1.0143460787	1.0140766393	1.01337287124	1.01337917538	1.01300027681	1.01304453277
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	1.20910486986	1.27856636001	1.27630185059	1.27491407678	1.27360988744	1.27272919445	1.26774593107	1.2672042374	1.26400302974	1.2618522591	1.2608642855	1.257726689	1.25365114007	1.25184443984	1.24988298001	1.24841337189	1.24541962017	1.24396792959	1.24189496763	1.24045754729	1.23961136281	1.23938631966	1.23734328869	1.23425015975	1.23707960905	1.23532133928	1.23485088632	1.23465079186	1.23367794844	1.2333555406	1.23310648897
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	0.984328854846	1.15295468277	1.14392383528	1.12768046918	1.13020849061	1.12584671571	1.12752435471	1.12427279551	1.12434433546	1.12216635303	1.11911015224	1.11291700589	1.11969911164	1.11749222213	1.11450676188	1.11551949463	1.11510523509	1.11692286551	1.11413245649	1.11329216885	1.11302783645	1.10972425246	1.11101032783	1.11392452096	1.11463508799	1.11453361309	1.11453361309	1.11437160114	1.11429241552	1.11362832831	1.11364774548
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	0.869395225878	0.879902656396	0.887802474586	0.898045187425	0.909072721164	0.91273004531	0.917692482087	0.913439807617	0.916129144023	0.917129105372	0.912337348838	0.911432891792	0.912750064093	0.913937572915	0.916077406847	0.917774661787	0.920022189648	0.920687568477	0.922917871856	0.924894517563	0.925331320786	0.920402448773	0.920959348397	0.92317905682	0.924975436646	0.927137067062	0.929889173926	0.932843497879	0.934278814397	0.936359042012	0.939222221204
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
